POINT_X,POINT_Y
-1014427.84137000000,-1354436.90194000000
1881013.38253000000,-383393.79124700000
-1337868.08641000000,300407.60579800000
-1275612.98004000000,318114.77723500000
-1949169.56078000000,-556350.30903900000
2197789.36681000000,87988.57116600000
994914.72935400000,-204842.98615400000
1985630.99751000000,-338489.57608500000
1618395.15047000000,-575652.72647600000
2028664.08159000000,-346033.89071800000
-1600730.66180000000,-1221365.24255000000
-1739050.51395000000,377285.24013100000
-1819003.56953000000,232136.98291100000
-1912470.57740000000,-22649.24385210000
-1730246.94153000000,297837.65068600000
1293851.83133000000,-171516.43281500000
1827709.73467000000,-164777.53765300000
279680.91601700000,2191.13168351000
1914541.65986000000,166205.45056900000
884727.30085700000,-191904.99589100000
2200391.44450000000,415754.71152600000
-911613.56465600000,-355861.25764400000
693133.25961700000,-1105572.39907000000
960755.95021400000,-158601.83059700000
-271741.71214200000,-131620.28836200000
1498685.20825000000,-980935.13389000000
2027769.47907000000,-355681.36404100000
2146220.31330000000,-130460.09121400000
1700001.81043000000,-1535408.93619000000
2207992.58162000000,84243.83595990000
1321820.76410000000,-101325.42193300000
-1528117.10535000000,416072.53246900000
1373020.95127000000,-1017852.86735000000
1651617.98484000000,-249325.38645500000
2122698.14259000000,203838.08411800000
2316077.82380000000,120823.95943900000
-1939777.73610000000,-622297.37628100000
-731266.19177700000,-1078559.57514000000
-393226.43635200000,-1066972.16855000000
548414.47554300000,-826077.94299500000
1378218.45712000000,-330063.58018700000
2118504.18235000000,286847.62139400000
-1955922.06122000000,-526017.43554800000
-855277.06352600000,173487.51129600000
1607814.69514000000,-180957.17257800000
-557003.15708800000,-623914.63979000000
2156223.63520000000,-104925.44400900000
1362458.77599000000,-532080.77286700000
2438635.26577000000,423886.60991600000
1001614.77338000000,-284768.26011800000
1692082.51337000000,-1696380.14197000000
1919895.93531000000,-156308.24943900000
2161508.38117000000,-686004.56949600000
1417827.22426000000,-393459.87348800000
-1836107.59854000000,-56695.56475610000
-488206.13921300000,-1017746.15050000000
-972621.50006600000,-405547.71046600000
2216305.11553000000,23574.63313280000
180757.72821300000,-1620314.92350000000
1632736.59734000000,-263227.68983600000
-1925632.13292000000,73491.53860220000
2207272.24431000000,294419.10731700000
2168585.57569000000,-694775.72104200000
1808255.27416000000,41494.53287100000
2212606.90223000000,-42454.96329600000
-458005.28434200000,-574791.99742600000
1897929.61608000000,-1829.80033259000
1139139.75692000000,129038.06714100000
-1859780.92827000000,-366355.66446400000
677426.86530400000,174268.17716800000
-1076036.66774000000,-1049491.22809000000
1340900.62210000000,-166356.54417900000
1878871.15752000000,-383987.83048200000
978632.69801300000,-242636.98669600000
559871.69697900000,117834.25392200000
-1618765.67372000000,624424.78258000000
1668111.51797000000,-284586.23624900000
-1917609.84136000000,-586101.62451700000
1961430.14240000000,-563479.83407900000
2372044.81993000000,91971.96392250000
2067783.39712000000,274399.16136800000
1897962.26448000000,-1855.13473437000
-1567952.60170000000,398100.71169900000
928444.36542800000,-1342750.25666000000
1550002.51042000000,-447527.81434800000
-1370121.99544000000,181796.89132200000
-1664366.26874000000,236591.78148400000
1729041.42154000000,25468.05757810000
-1723835.63297000000,391752.33906700000
1178191.42994000000,-238440.90793900000
-451480.82295800000,-564810.12132500000
-1661530.52480000000,588829.98096100000
-1589527.80885000000,393377.29309000000
-1046463.89010000000,-1356842.58199000000
1447075.31638000000,-1105515.83232000000
527628.06173400000,-965636.94966400000
1117585.96045000000,18697.48625920000
936684.02515300000,17833.71419570000
-1798646.88384000000,479549.69139500000
-1633358.64533000000,658182.89480500000
1670957.80513000000,-913127.47802700000
467576.23232000000,-817694.01094700000
1888767.38569000000,-269352.31789700000
-1695729.99250000000,-595853.53299400000
-441860.80288800000,-404131.79876400000
1618293.46071000000,-1461221.82606000000
-985487.00401200000,-1403828.35982000000
1734624.28926000000,-268562.19435000000
1280998.87239000000,-170298.23919200000
2360419.58130000000,314336.08435200000
-1606308.77858000000,283068.23643900000
864404.07904900000,-651942.12214400000
-669652.95003600000,-1270864.51148000000
-1548523.89562000000,380185.47220900000
-1729486.87580000000,294039.25692000000
1819942.89313000000,-355465.08032600000
607901.95910900000,239259.98688000000
992756.83368900000,-174302.75462000000
1919170.10045000000,230318.78791400000
1074799.72521000000,-716427.69565400000
1148696.58040000000,-1503828.69757000000
149356.83870300000,-1705748.12757000000
1687761.99529000000,-728865.58204000000
-982304.87121800000,-449966.75761100000
2025084.35795000000,-698496.93971300000
2009691.06817000000,-174433.83789900000
2140214.99489000000,-224257.23801200000
718835.02491900000,-1082926.34588000000
-928321.91773600000,-292242.74933700000
2066480.33086000000,-254641.64120000000
2314222.44536000000,103129.78444000000
2205980.97191000000,79327.28574370000
2164778.18164000000,-138746.99441200000
2158666.88892000000,348770.52848900000
1480607.34119000000,-1074161.31557000000
1467913.55146000000,-341281.90098300000
1815248.64167000000,-1809594.43026000000
2147778.83442000000,-120771.25595200000
-1606208.78447000000,-1191914.44265000000
-1770337.03107000000,-592226.28284700000
2110505.29264000000,259966.80712300000
675758.20480400000,174891.01314700000
1492519.63133000000,-1331508.84262000000
435077.70134100000,-578664.47264100000
2335441.52089000000,159896.61626000000
-1181582.27767000000,13685.41059670000
460351.05644200000,-1698172.33329000000
1923033.74691000000,-422921.80019700000
2275557.38353000000,27683.91542620000
-861764.01401900000,161091.49649700000
2172882.52978000000,-86068.63969310000
